claim_id,family,status,evidence_level,conclusion,primary_artifact
capture_integrity,capture_and_fidelity,keep,A,"saved routing/action/executed IDs are usable; historical fp32 gate cannot be reconstructed from fp16 probabilities",analysis/router-quantization-identifiability/report.md
as_gate_constant,router_structure_and_numeric,keep,A,"AS/state routing is constant across denoise because the mask is constant; it is not an outcome signal",analysis/routing-go-no-go-20260828/report.md
hard_id_semantics,router_structure_and_numeric,close,D,"near ties make hard-ID turnover an ambiguous proxy for policy or skill changes",analysis/router-quantization-identifiability/report.md
action_candidate_representation,candidate_selection_and_budget,keep_association,B,"soft action routing is candidate-conditioned and decodes sampled action geometry",analysis/candidate-level-soft-routing/report.md
short_horizon_increment,candidate_selection_and_budget,close,D,"routing adds no response information once the complete action chunk is retained",analysis/candidate-level-soft-routing/report.md
state_shadow,routing_dynamics_and_state_readout,keep_association,B,"state routing primarily reads dynamic state and motion phase",analysis/state-routing-concept-matrix/report.md
control_continuity,routing_dynamics_and_state_readout,keep_descriptive,B,"routing is continuous across controls but is not an independent skill FSM",analysis/markov-routing-all/REPORT.md
flow_lead,routing_dynamics_and_state_readout,close_lead_claim,D,"routing follows current noisy latent and adds approximately zero beyond it for final action",analysis/unsupervised-moe-dynamics/flow-lead-real/report.md
expert_function,expert_mechanism_and_output,keep_mechanism,A,"expert/branch interventions alter outputs or actions but expected success value is unresolved",analysis/unsupervised-denoise-validation/report.md
early_commitment,rolling_or_early_outcome,close,D,"identical first routes produce both outcomes under future-noise changes",analysis/commitment-grid-s24/REPORT.md
initial_state_risk,rolling_or_early_outcome,keep_non_moe,A,"initial configuration is a strong rollout-risk prior",analysis/initial-state-early-moe-signal-20260828/report.md
q0_beyond_initial_state,rolling_or_early_outcome,close,D,"q0 and q0-q2 routing have no stable increment over the initial-state prior",analysis/initial-state-early-moe-signal-20260828/report.md
fixed_prefix_routing,failure_routing_and_recovery,close_protocol,D,"state/action routing increments vanish after full cached geometry and action controls",analysis/full-geometry-routing-ladder/report.md
router_input_hidden,failure_routing_and_recovery,candidate,C,"router-input hidden has a tentative nonzero increment but is not expert output and is not practically established",analysis/full-geometry-routing-ladder/report.md
t34_warning,rolling_or_early_outcome,withdraw,D,"remaining-time overlap is degenerate; phase and remaining-time sentinels are protocol diagnostics only",analysis/t34-closure/report.md
whole_trajectory_clusters,failure_routing_and_recovery,withdraw,D,"clusters mostly reconstruct task/length/timeout; no routing-specific failure core remains",analysis/AUDIT-clustering-leakage-20260828/report.md
residual_failure_atlas,failure_routing_and_recovery,keep_post_onset,B,"multiple distributed routing families distinguish failure-trajectory types after onset; not early warning",analysis/residual-failure-moe-atlas-20260828/report.md
literal_loop,failure_routing_and_recovery,close_general_claim,D,"failure is associated with persistence rather than a general periodic loop",analysis/failure-rollout-periodicity/report.md
cross_task_early_signature,failure_routing_and_recovery,close,D,"no aggregate q0/pre-anchor signature transfers across tasks after family correction",analysis/cross-task-layer-denoise-transfer-20260828/report.md
route_medoid,candidate_selection_and_budget,close,D,"route medoid/consensus does not robustly improve candidate success",analysis/moe-current-data-audit/REPORT.md
adaptive_k,candidate_selection_and_budget,close,D,"route dispersion does not predict sampling headroom across tasks",analysis/moe-current-data-audit/opportunity/REPORT.md
dynamic_denoise_stop,denoise_stopping,close_current_methods,D,"MoE dynamics do not beat fixed-round/action-extrapolation baselines reproducibly",analysis/unsupervised-denoise-validation/report.md
controlled_ood,router_structure_and_numeric,candidate,B,"routing detects tested controlled mask corruption; environmental OOD transfer is untested",himoe-vla-moe-routing-compendium-2026-08-22.md
natural_recovery,failure_routing_and_recovery,blocked,E,"existing natural trajectories lack risk sets with both recovery and failure outcomes",analysis/post-error-adaptation-20260828/feasibility.md
expert_pruning,intervention_and_pruning,no_go,E,"no expert identity has prospective causal evidence sufficient for removal",runs/rolling-star-a100-long-t08-k16-20260828/RESULTS_ZH.md
rolling_q0,rolling_or_early_outcome,close,D,"prospective q0 expert/coordinate signals fail validation and worker transfer",runs/rolling-star-a100-long-t08-k16-20260828/RESULTS_ZH.md
rolling_q24_trap,rolling_or_early_outcome,candidate,C,"q24-q31 adds a small trap Brier gain in four workers; window selection and low independent n require fresh validation",runs/rolling-star-a100-long-t08-k16-20260828/analysis_tail_moe/REPORT_ZH.md
