fold,global_row,run_id,suite,task,episode,init_state_id,noise_seed,length,failure,scope,method,calibration,alpha,threshold,first_alarm_query,first_alarm_inference_number,executed_task_action_steps_before_alarm,alarm_fraction_of_queries,decision
libero_goal_20260907,400,right-50x8b-20260903,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,0,0,1008,13,False,seen,dyn_success_knn_k20,task_init,0.05,1.8795933723449707,-1,-1,-1,,tn
libero_goal_20260907,401,right-50x8b-20260903,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,1,0,1009,13,False,seen,dyn_success_knn_k20,task_init,0.05,1.8795933723449707,-1,-1,-1,,tn
libero_goal_20260907,402,right-50x8b-20260903,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,2,0,1010,13,False,seen,dyn_success_knn_k20,task_init,0.05,1.8795933723449707,-1,-1,-1,,tn
libero_goal_20260907,403,right-50x8b-20260903,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,3,0,1011,13,False,seen,dyn_success_knn_k20,task_init,0.05,1.8795933723449707,-1,-1,-1,,tn
libero_goal_20260907,404,right-50x8b-20260903,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,4,0,1012,13,False,seen,dyn_success_knn_k20,task_init,0.05,1.8795933723449707,-1,-1,-1,,tn
libero_goal_20260907,405,right-50x8b-20260903,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,5,0,1013,13,False,seen,dyn_success_knn_k20,task_init,0.05,1.8795933723449707,-1,-1,-1,,tn
libero_goal_20260907,406,right-50x8b-20260903,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,6,0,1014,13,False,seen,dyn_success_knn_k20,task_init,0.05,1.8795933723449707,-1,-1,-1,,tn
libero_goal_20260907,407,right-50x8b-20260903,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,7,0,1015,15,False,seen,dyn_success_knn_k20,task_init,0.05,1.8795933723449707,10,11,100,0.7333333333333333,fp
libero_goal_20260907,408,right-50x8b-20260903,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,8,1,1008,11,False,seen,dyn_success_knn_k20,task_init,0.05,1.8795933723449707,-1,-1,-1,,tn
libero_goal_20260907,409,right-50x8b-20260903,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,9,1,1009,12,False,seen,dyn_success_knn_k20,task_init,0.05,1.8795933723449707,-1,-1,-1,,tn
