cache_id,task,variant,scope,control_rows,routing_sites,hb_router_probs_shape,hb_router_probs_zarr_dtype,hb_expert_ids_shape,hb_expert_ids_zarr_dtype,store_full_probs_metadata,hook_verified_calls,hook_verify_failures,pin_regime,store_path
calvin_d/task_D_D/routes-v1,calvin_d/task_D_D,routes-v1,primary_canonical,3621,3186480,3621x8x10x11x32,float16,3621x8x10x11x4,uint8,,480,0,,VLA_MUI_HUB/cache/HiMoE-VLA/calvin_d/task_D_D/routes-v1/server/routes.zarr
libero_goal/open_the_middle_drawer_of_the_cabinet/right-16x32,libero_goal/open_the_middle_drawer_of_the_cabinet,right-16x32,primary_canonical,6452,5677760,6452x8x10x11x32,float16,6452x8x10x11x4,uint8,True,480,0,,VLA_MUI_HUB/cache/HiMoE-VLA/libero_goal/open_the_middle_drawer_of_the_cabinet/right-16x32/server/routes.zarr
libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,right-16x32,primary_canonical,10018,8815840,10018x8x10x11x32,float16,10018x8x10x11x4,uint8,True,480,0,,VLA_MUI_HUB/cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32/server/routes.zarr
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-16x32,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-16x32,primary_canonical,22883,20137040,22883x8x10x11x32,float16,22883x8x10x11x4,uint8,True,480,0,,VLA_MUI_HUB/cache/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-16x32/server/routes.zarr
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate/pin-base,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,pin-base,duplicate_baseline,5139,4522320,5139x8x10x11x32,float16,5139x8x10x11x4,uint8,True,480,0,,VLA_MUI_HUB/cache/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate/pin-base/server/routes.zarr
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate/pin-off,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,pin-off,routing_intervention,5176,4554880,5176x8x10x11x32,float16,5176x8x10x11x4,uint8,True,0,0,off,VLA_MUI_HUB/cache/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate/pin-off/server/routes.zarr
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate/pin-on,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,pin-on,routing_intervention,5052,4445760,5052x8x10x11x32,float16,5052x8x10x11x4,uint8,True,0,0,on,VLA_MUI_HUB/cache/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate/pin-on/server/routes.zarr
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate/pin-smoke,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,pin-smoke,routing_intervention,19,16720,19x8x10x11x32,float16,19x8x10x11x4,uint8,True,0,0,off,VLA_MUI_HUB/cache/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate/pin-smoke/server/routes.zarr
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate/right-16x32,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,right-16x32,primary_canonical,5139,4522320,5139x8x10x11x32,float16,5139x8x10x11x4,uint8,True,480,0,,VLA_MUI_HUB/cache/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate/right-16x32/server/routes.zarr
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate/right-16x32,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,right-16x32,primary_canonical,6816,5998080,6816x8x10x11x32,float16,6816x8x10x11x4,uint8,True,480,0,,VLA_MUI_HUB/cache/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate/right-16x32/server/routes.zarr
