task,suite,task_id,label,budget_actions
libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,G01,open the middle drawer of the cabinet,300
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,G02,open the top drawer and put the bowl inside,300
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,G03,push the plate to the front of the stove,300
libero_goal/put_the_bowl_on_the_plate,libero_goal,G04,put the bowl on the plate,300
libero_goal/put_the_bowl_on_the_stove,libero_goal,G05,put the bowl on the stove,300
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,G06,put the bowl on top of the cabinet,300
libero_goal/put_the_cream_cheese_in_the_bowl,libero_goal,G07,put the cream cheese in the bowl,300
libero_goal/put_the_wine_bottle_on_the_rack,libero_goal,G08,put the wine bottle on the rack,300
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,libero_goal,G09,put the wine bottle on top of the cabinet,300
libero_goal/turn_on_the_stove,libero_goal,G10,turn on the stove,300
libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,libero_long,L01,turn on the stove and put the moka pot on it,520
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,libero_long,L02,put the black bowl in the bottom drawer of the cabinet and...,520
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,libero_long,L03,put the yellow and white mug in the microwave and close it,520
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_long,L04,put both moka pots on the stove,520
libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,libero_long,L05,put both the alphabet soup and the cream cheese box in the...,520
libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,libero_long,L06,put both the alphabet soup and the tomato sauce in the basket,520
libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,libero_long,L07,put both the cream cheese box and the butter in the basket,520
libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,libero_long,L08,put the white mug on the left plate and put the yellow and...,520
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,libero_long,L09,put the white mug on the plate and put the chocolate...,520
libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,libero_long,L10,pick up the book and place it in the back compartment of...,520
libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,libero_object,O01,alphabet soup to basket,280
libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,libero_object,O02,bbq sauce to basket,280
libero_object/pick_up_the_butter_and_place_it_in_the_basket,libero_object,O03,butter to basket,280
libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,libero_object,O04,chocolate pudding to basket,280
libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,libero_object,O05,cream cheese to basket,280
libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,libero_object,O06,ketchup to basket,280
libero_object/pick_up_the_milk_and_place_it_in_the_basket,libero_object,O07,milk to basket,280
libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,libero_object,O08,orange juice to basket,280
libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,libero_object,O09,salad dressing to basket,280
libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,libero_object,O10,tomato sauce to basket,280
libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,libero_spatial,S01,bowl between the plate and the ramekin,220
libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,libero_spatial,S02,bowl from table center,220
libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,libero_spatial,S03,bowl in the top drawer of the wooden cabinet,220
libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,libero_spatial,S04,bowl next to the cookie box,220
libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,libero_spatial,S05,bowl next to the plate,220
libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,libero_spatial,S06,bowl next to the ramekin,220
libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,libero_spatial,S07,bowl on the cookie box,220
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial,S08,bowl on the ramekin,220
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,libero_spatial,S09,bowl on the stove,220
libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,libero_spatial,S10,bowl on the wooden cabinet,220
