方法,有脱手时刻的测试出现次数,检出,严格早于脱手,检出者延迟中位数(query)
behavior_contrast__cumsum,175,100,41,2.0
clock,175,175,16,4.0
freeze__current,175,149,16,5.0
history_contrast__cumsum,175,117,66,-1.0
stats_contrast__cumsum,175,91,66,-5.0
stats_positive__current,175,115,14,3.0
stats_ratio__cumsum,175,175,74,0.0
success_calibration_budget@5%,175,174,13,5.5
success_only__cumsum,175,175,55,3.0
success_only__current,175,86,37,0.0
unlabeled_reference_budget@5%,175,162,5,6.0
v7_freeze_constant,175,136,7,8.0
v7_guard_constant,175,143,7,8.0
v7_guard_timeband,175,148,17,8.0
v7_success_fusion_constant,175,161,21,6.0
v7_turbulence_constant,175,158,13,6.0
