suite,label,task
libero_goal,T1,libero_goal/open_the_middle_drawer_of_the_cabinet
libero_goal,T2,libero_goal/open_the_top_drawer_and_put_the_bowl_inside
libero_goal,T3,libero_goal/push_the_plate_to_the_front_of_the_stove
libero_goal,T4,libero_goal/put_the_bowl_on_the_plate
libero_goal,T5,libero_goal/put_the_bowl_on_the_stove
libero_goal,T6,libero_goal/put_the_bowl_on_top_of_the_cabinet
libero_goal,T7,libero_goal/put_the_cream_cheese_in_the_bowl
libero_goal,T8,libero_goal/put_the_wine_bottle_on_the_rack
libero_goal,T9,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet
libero_goal,T10,libero_goal/turn_on_the_stove
libero_long,T1,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it
libero_long,T2,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it
libero_long,T3,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it
libero_long,T4,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
libero_long,T5,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket
libero_long,T6,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket
libero_long,T7,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket
libero_long,T8,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate
libero_long,T9,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate
libero_long,T10,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy
libero_object,T1,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket
libero_object,T2,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket
libero_object,T3,libero_object/pick_up_the_butter_and_place_it_in_the_basket
libero_object,T4,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket
libero_object,T5,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket
libero_object,T6,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket
libero_object,T7,libero_object/pick_up_the_milk_and_place_it_in_the_basket
libero_object,T8,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket
libero_object,T9,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket
libero_object,T10,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket
libero_spatial,T1,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate
libero_spatial,T2,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate
libero_spatial,T3,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate
libero_spatial,T4,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate
libero_spatial,T5,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate
libero_spatial,T6,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate
libero_spatial,T7,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate
libero_spatial,T8,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate
libero_spatial,T9,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
libero_spatial,T10,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate
