task,run_id,episode,init_state_id,flow_noise_seed,query,length,checkpoint_sha256,order,recorded_success,primary_failure_reason,init_state_id_label,failure
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-16x32,0,0,1000,34,52,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,0,False,goal_predicate_regressed,0,True
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-16x32,1,0,1001,34,52,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,1,False,stable_grasp_not_observed,0,True
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-16x32,2,0,1002,34,37,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,2,True,,0,False
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-16x32,3,0,1003,34,52,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,3,False,stable_grasp_not_observed,0,True
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-16x32,4,0,1004,34,38,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,4,True,,0,False
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-16x32,5,0,1005,34,52,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,5,False,stable_grasp_not_observed,0,True
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-16x32,6,0,1006,34,39,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,6,True,,0,False
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-16x32,7,0,1007,34,52,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,7,False,stable_grasp_not_observed,0,True
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-16x32,8,0,1008,34,38,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,8,True,,0,False
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-16x32,9,0,1009,34,52,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,9,False,stable_grasp_not_observed,0,True
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-16x32,10,0,1010,34,38,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,10,True,,0,False
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-16x32,11,0,1011,34,52,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,11,False,stable_grasp_not_observed,0,True
