order,job_id,suite,task_id,episode_index,init_state_id,seed,flow_noise_seed,state,outcome,is_completed,is_succeeded,is_task_failed,is_infra_failed,is_pending,is_running,attempt_count,episode_status,success,action_steps,inference_calls,duration_seconds,artifact_dir,video_path,video_retained,error_type,error
0,task00-episode000-init000-seed7,goal,0,0,0,7,42,completed,succeeded,1,1,0,0,0,0,1,completed,True,263,27,23.856256956234574,/home/jovyan/work/himoe-paper-ab/rs141-egl/batch-libero-goal-20260801T171608342637Z/episodes/task00-episode000-init000-seed7/episode-libero-goal-task00-seed7-20260801T171608Z,/home/jovyan/work/himoe-paper-ab/rs141-egl/batch-libero-goal-20260801T171608342637Z/episodes/task00-episode000-init000-seed7/episode-libero-goal-task00-seed7-20260801T171608Z/episode.mp4,False,,
1,task00-episode001-init001-seed7,goal,0,1,1,7,43,completed,task_failed,1,0,1,0,0,0,1,completed,False,300,30,24.42532047443092,/home/jovyan/work/himoe-paper-ab/rs141-egl/batch-libero-goal-20260801T171608342637Z/episodes/task00-episode001-init001-seed7/episode-libero-goal-task00-seed7-20260801T171632Z,/home/jovyan/work/himoe-paper-ab/rs141-egl/batch-libero-goal-20260801T171608342637Z/episodes/task00-episode001-init001-seed7/episode-libero-goal-task00-seed7-20260801T171632Z/episode.mp4,False,,
2,task00-episode002-init002-seed7,goal,0,2,2,7,44,completed,task_failed,1,0,1,0,0,0,1,completed,False,300,30,24.678994650021195,/home/jovyan/work/himoe-paper-ab/rs141-egl/batch-libero-goal-20260801T171608342637Z/episodes/task00-episode002-init002-seed7/episode-libero-goal-task00-seed7-20260801T171656Z,/home/jovyan/work/himoe-paper-ab/rs141-egl/batch-libero-goal-20260801T171608342637Z/episodes/task00-episode002-init002-seed7/episode-libero-goal-task00-seed7-20260801T171656Z/episode.mp4,False,,
3,task00-episode003-init003-seed7,goal,0,3,3,7,45,completed,task_failed,1,0,1,0,0,0,1,completed,False,300,30,24.52878356166184,/home/jovyan/work/himoe-paper-ab/rs141-egl/batch-libero-goal-20260801T171608342637Z/episodes/task00-episode003-init003-seed7/episode-libero-goal-task00-seed7-20260801T171721Z,/home/jovyan/work/himoe-paper-ab/rs141-egl/batch-libero-goal-20260801T171608342637Z/episodes/task00-episode003-init003-seed7/episode-libero-goal-task00-seed7-20260801T171721Z/episode.mp4,False,,
4,task00-episode004-init004-seed7,goal,0,4,4,7,46,completed,task_failed,1,0,1,0,0,0,1,completed,False,300,30,24.413101883605123,/home/jovyan/work/himoe-paper-ab/rs141-egl/batch-libero-goal-20260801T171608342637Z/episodes/task00-episode004-init004-seed7/episode-libero-goal-task00-seed7-20260801T171745Z,/home/jovyan/work/himoe-paper-ab/rs141-egl/batch-libero-goal-20260801T171608342637Z/episodes/task00-episode004-init004-seed7/episode-libero-goal-task00-seed7-20260801T171745Z/episode.mp4,False,,
5,task09-episode000-init000-seed7,goal,9,0,0,7,492,completed,task_failed,1,0,1,0,0,0,1,completed,False,300,30,24.87317357212305,/home/jovyan/work/himoe-paper-ab/rs141-egl/batch-libero-goal-20260801T171608342637Z/episodes/task09-episode000-init000-seed7/episode-libero-goal-task09-seed7-20260801T171810Z,/home/jovyan/work/himoe-paper-ab/rs141-egl/batch-libero-goal-20260801T171608342637Z/episodes/task09-episode000-init000-seed7/episode-libero-goal-task09-seed7-20260801T171810Z/episode.mp4,False,,
6,task09-episode001-init001-seed7,goal,9,1,1,7,493,completed,succeeded,1,1,0,0,0,0,1,completed,True,122,13,11.434569792822003,/home/jovyan/work/himoe-paper-ab/rs141-egl/batch-libero-goal-20260801T171608342637Z/episodes/task09-episode001-init001-seed7/episode-libero-goal-task09-seed7-20260801T171835Z,/home/jovyan/work/himoe-paper-ab/rs141-egl/batch-libero-goal-20260801T171608342637Z/episodes/task09-episode001-init001-seed7/episode-libero-goal-task09-seed7-20260801T171835Z/episode.mp4,False,,
7,task09-episode002-init002-seed7,goal,9,2,2,7,494,completed,task_failed,1,0,1,0,0,0,1,completed,False,300,30,24.902548752725124,/home/jovyan/work/himoe-paper-ab/rs141-egl/batch-libero-goal-20260801T171608342637Z/episodes/task09-episode002-init002-seed7/episode-libero-goal-task09-seed7-20260801T171846Z,/home/jovyan/work/himoe-paper-ab/rs141-egl/batch-libero-goal-20260801T171608342637Z/episodes/task09-episode002-init002-seed7/episode-libero-goal-task09-seed7-20260801T171846Z/episode.mp4,False,,
8,task09-episode003-init003-seed7,goal,9,3,3,7,495,completed,succeeded,1,1,0,0,0,0,1,completed,True,127,13,11.577142117545009,/home/jovyan/work/himoe-paper-ab/rs141-egl/batch-libero-goal-20260801T171608342637Z/episodes/task09-episode003-init003-seed7/episode-libero-goal-task09-seed7-20260801T171911Z,/home/jovyan/work/himoe-paper-ab/rs141-egl/batch-libero-goal-20260801T171608342637Z/episodes/task09-episode003-init003-seed7/episode-libero-goal-task09-seed7-20260801T171911Z/episode.mp4,False,,
9,task09-episode004-init004-seed7,goal,9,4,4,7,496,completed,succeeded,1,1,0,0,0,0,1,completed,True,121,13,11.483766378834844,/home/jovyan/work/himoe-paper-ab/rs141-egl/batch-libero-goal-20260801T171608342637Z/episodes/task09-episode004-init004-seed7/episode-libero-goal-task09-seed7-20260801T171923Z,/home/jovyan/work/himoe-paper-ab/rs141-egl/batch-libero-goal-20260801T171608342637Z/episodes/task09-episode004-init004-seed7/episode-libero-goal-task09-seed7-20260801T171923Z/episode.mp4,False,,
