main_id,task_index,task_name,init_index,queries,native_success,v7_online,v8_online,v7_frozen,v8_frozen,v82_frozen,v82_new_alarm,v82_advance_queries
70f26e0080e4e0d7bbf5002f,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,0,26,True,-1,-1,-1,-1,-1,False,
af54d2537e5ac56278a7d695,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,1,24,True,-1,-1,-1,-1,-1,False,
66e37e384fbb68d9fa1b3481,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,2,27,True,-1,-1,-1,-1,-1,False,
68cf3514e2893ee14aabe4f8,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,3,40,True,-1,-1,-1,-1,-1,False,
90696eb982e06607d7f53618,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,4,52,False,-1,-1,-1,-1,-1,False,
1ae545249988eb1d278009f8,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,5,27,True,-1,-1,-1,-1,-1,False,
95a61398976d9d31829ab23a,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,6,38,True,-1,-1,-1,-1,-1,False,
b40af3c51dfad61f9973c500,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,7,24,True,-1,-1,-1,-1,-1,False,
0a00cb40da11e82e4601e17a,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,8,31,True,-1,-1,-1,-1,-1,False,
a86caf3628a1d6b41786d47f,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,9,25,True,-1,-1,-1,-1,-1,False,
87fa8991c4b8ea6dbeec012e,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,0,25,True,-1,-1,-1,-1,-1,False,
6759f4eeff7dd7f31abc4d34,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,1,52,False,-1,-1,-1,-1,39,True,
d219ae307889167ce7913a46,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,2,24,True,-1,-1,-1,-1,-1,False,
df66948d85e88cb6a719b809,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,3,26,True,-1,-1,-1,-1,-1,False,
20ba3fcbf014d1e3c0d92652,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,4,26,True,-1,-1,-1,-1,-1,False,
b33f744e1932d63bed46d59e,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,5,52,False,-1,43,-1,43,42,False,1
e7d2ca4a51ef21e283e4ffdf,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,6,24,True,-1,-1,-1,-1,-1,False,
46fb7825a944f070029880cc,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,7,25,True,-1,-1,-1,-1,-1,False,
f4676f638a7d66c985349ceb,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,8,25,True,-1,-1,-1,-1,-1,False,
0cbf994130aced355750e924,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,9,23,True,-1,-1,-1,-1,-1,False,
06606dc1c0eab71cad634070,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,0,26,True,-1,-1,-1,-1,-1,False,
32648e612cdb791c04bbff2c,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,1,25,True,-1,-1,-1,-1,-1,False,
c988f60c8da55086bb4b0147,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,2,24,True,-1,-1,-1,-1,-1,False,
cdcef80149377506ed701f0c,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,3,27,True,-1,-1,-1,-1,-1,False,
7ddae24e635fb3d72c4a8771,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,4,23,True,-1,-1,-1,-1,-1,False,
ec0da74b6b5ff75c56703a91,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,5,24,True,-1,-1,-1,-1,-1,False,
cec7f6331743984dfc15bdd9,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,6,26,True,-1,-1,-1,-1,-1,False,
45ed3e5788cff5d0e792f058,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,7,24,True,-1,-1,-1,-1,-1,False,
