item,quantity_or_operating_point,value_a,source_a,value_b,source_b,verdict,note
C01,mobility|L12|low|q0.975|global,"195 TP / 17 FP, precision 0.9198113207547169, lift 1.7640674271437853",moe-hb-front-back-0905/results/frame_survey/external_detectors.csv,identical to 17 significant figures in 6 further bundles,moe-circuit-analogy-0906/results/detectors/external_detectors.csv; moe-token-geometry-0906/results/detection/external_detectors.csv; moe-flow-semantics-0906/results/step_alarm/external_detectors.csv; moe-state-channel-0906/results/detectors/external_detectors.csv; moe-combination-rules-0906/results/reference_operating_points.csv; moe-failure-modes-0906/results/headline_operating_points.csv,AGREE,Exact. Anchor is sound.
C02,mobility|L2|low|q0.700|per_task,"272 TP / 57 FP, lift 1.3886047537089383",moe-hb-front-back-0905/results/frame_survey/external_detectors.csv,identical in 6 further bundles,moe-circuit-analogy-0906; moe-token-geometry-0906; moe-flow-semantics-0906; moe-state-channel-0906; moe-combination-rules-0906; moe-failure-modes-0906,AGREE,Exact.
C03,expert_load_effective_rank|L3|low|q0.85|per_task,"370 TP / 93 FP, lift 1.5479067335088585, mean_alarm_prior 0.5162688757758398","moe-hb-front-back-0905/results/frame_survey/external_detectors.csv (also circuit, combination, failure-modes)","370 TP / 93 FP, lift 1.5478620878761244, mean_alarm_prior 0.5162837667346665",moe-flow-semantics-0906/results/step_alarm/external_detectors.csv (load_entropy_s9); moe-state-channel-0906/results/detectors/external_detectors.csv,MINOR DISAGREEMENT,"TP/FP/precision/low-prior counts identical. Only the matched survival prior differs, at the 5th decimal (0.51626888 vs 0.51628377), propagating to lift in the 5th decimal. Cause: the two lineages recompute the survival prior independently. The FIRST value is the one 4 bundles agree on and is the one to quote. Immaterial, but it means ""lift 1.5479"" is not literally reproducible from the flow-semantics/state-channel code path."
C04,v7 intrinsic guard external,"439 TP / 80 FP, recall 77.84%, precision 84.59%, timely FPR 0.532%, early-4 58.69%, median lead 12","moe-v7-0905/README.md; REPORT_ZH.md; docs/LOSO §2.2,§6; docs/LOTO §3.1; docs/LENGTH_REWEIGHTING §4; docs/ALARM_BUDGET §1,§4","439 TP / 80 FP, precision 0.846, recall 0.778","moe-combination-rules-0906 §6 posthoc probe; moe-failure-modes-0906 §1,§5",AGREE,Consistent in at least 8 places. LOSO §2.2 states the reproduction is digit-for-digit.
C05,4-detector union coverage,"""525/564, misses 39"" quoted as a premise","task brief / controller premise, restated in moe-combination-rules-0906 §5.4","525 TP / 198 FP, recall 93.1%, precision 0.726, misses 39",moe-combination-rules-0906 §5.4 controller addendum,"RESOLVED, ORIGINAL MISLEADING","The combination-rules agent could not reproduce it (its own pool gives 534/530 for all 24, or 519/306 for a post-hoc best 4). The controller recomputed it as 525 TP / 198 FP. The original statement reported coverage without the 198 false alarms. Not present anywhere in moe-hb-front-back-0905 (grepped)."
C06,"risk episode count, external_8b","564 risk / 15,600; suite split goal 106 / long 274 / object 44 / spatial 140",moe-failure-modes-0906/results/joined_external_8b.csv (verified: risk==True is 564),at-horizon-cap count is 568,"this audit, recomputed from episode lengths + caps 30/52/28/22",AGREE with a caveat,"risk is an exact subset of at-cap (564/564). Four at-cap episodes are recorded successes that finished on the last chunk. So ""still running at the cap"" predicts risk with precision 564/568 = 0.9930."
C07,survival prior crossing 0.25 (chunk),goal 18 / long 26 / object 17 / spatial 13,moe-hb-front-back-0905/docs/FRAME_SURVEY_REPORT_ZH.md §0.5,"same, independently recomputed",moe-combination-rules-0906 §2; moe-failure-modes-0906 §0,AGREE,"Three independent recomputations agree. Note the crossing chunk is 0.50-0.61 of the horizon in every suite, i.e. the ""early band"" is largely a horizon-length proxy."
C08,partial_edge_std | global — selected operating point,"L3 / high / q0.90 -> 99 TP / 147 FP, lift 2.0094",moe-hb-front-back-0905/results/frame_survey/external_detectors.csv,"L3 / high / q0.95 -> 42 TP / 35 FP, lift 2.4614",moe-circuit-analogy-0906/results/detectors/external_detectors.csv,DISAGREE,"Both bundles claim to use the identical frozen selection rule and both reproduce mobility and expert_load exactly. The same quantity in the same mode nevertheless lands on a different quantile and a 2.4x different TP count. NEITHER is ""right""; the selection rule is not deterministic across bundles for this quantity. Same pattern for conditional_effective_rank|global: 88/158 (frame survey) vs 42/62 (circuit)."
C09,"norm_fiedler survival-conditioned AUC, external L12",0.5969,moe-circuit-analogy-0906/results/detectors/survival_conditioned_auc.csv,"0.5969 (suite strata, reproduced exactly) / 0.5338 (task strata)","this audit, moe-audit-0906/results/audit_stratification_survival_auc.csv",AGREE on the published value,"The published number is right. It is the stratum, not the arithmetic, that is the problem."
C10,"conditional_energy survival-conditioned AUC, external L3",0.4516,moe-circuit-analogy-0906/results/detectors/survival_conditioned_auc.csv,0.4516 (verified by moe-state-channel-0906 implementation check to 1.98e-05); task strata 0.5062,moe-state-channel-0906/results/formation/formation_summary.json; this audit,"AGREE on the value, SIGN REVERSES under task strata",See contradiction X01.
C11,lift record among global detectors,"""nothing has beaten 1.764""",controller cross-cutting premise,"46 external operating points with TP>=20 exceed lift 1.7641; max 2.4614 (partial_edge_std|global, 42/35)","this audit, scan of 6 bundles external detector tables",PREMISE FALSE AS STATED,"Correct restatement: mobility|L12|global holds the lift record CONDITIONAL ON TP>=150. At TP>=100 the best is 1.8711 (load_entropy_s3|global, 109/31, moe-flow-semantics-0906). At TP>=20 the best is 2.4614. Lift and recall trade off; 1.764 @ 195 TP is a Pareto point, not a maximum."
C12,"arithmetic, libero_long alarm split","""264 alarms (86%) fall after chunk 20""",moe-v7-0905/docs/SURVIVAL_BASELINE_REPORT_ZH.md §4 prose,its own table sums to 115+119+25 = 259 (84.9%),same table,DISAGREE (off by 5),"The table column total 15+31+115+119+25 = 305 matches the §1 libero_long alarm count, and the companion ""46 (15%)"" is consistent. The 264/86% in the prose is the error."
C13,front/back relative edge dispersion,"6.17 (dev, partial edges, 40 tasks incl. extra)",moe-hb-front-back-0905/REPORT_ZH.md,"6.00 (dev_main only, 37 tasks), recomputed from an independent kernel cache",moe-token-geometry-0906/REPORT_ZH.md §4,AGREE,The geometry bundle states the difference is the 3 extra tasks. Both report 37/37 or 40/40 same-sign.
C14,normalised-Laplacian Fiedler VECTOR monotone in token index,"""median |Spearman| = 1.0000 across all 8 layers""",controller premise,depends entirely on which matrix: gram_combinatorial 1.0000 only in the 4 back layers (front 0.9636-0.9879); schur_normalised 0.8909-0.9879; schur_combinatorial 0.3939-0.9030,"moe-state-channel-0906/results/controller_probes/probe_summary.json (external_8b, 8 tasks x 400 rows)",PREMISE TOO STRONG,"The circuit bundle norm_fiedler is the normalised Laplacian of the SCHUR-COMPLEMENT kernel = schur_normalised, median |Spearman| 0.89-0.99, not 1.0. The unnormalised version (schur_combinatorial) is only 0.39-0.55 in the front layers. The equivalence with the geometry bundle arc-order measures is real in the back layers and weak in the front."
