equivalence_class,name,evidence,evidence_source,note
E1_total_residual_routing_energy,conditional_energy,reference member of the class,moe-hb-front-back-0905 METRIC_NAMES,"The published name. = 1 - mean_t(<a_t,s>^2), verified to 2.54e-08 in moe-state-channel-0906/results/formation/formation_summary.json"
E1_total_residual_routing_energy,state_action_alignment,exact monotone (decreasing) transform; all external metrics bit-identical,moe-hb-front-back-0905/docs/FRAME_SURVEY_REPORT_ZH.md §5; dependence ratio 1253,Circuit redundancy table: rho_state_action_alignment = -rho_conditional_energy to 7 digits for all 31 circuit features.
E1_total_residual_routing_energy,kernel_trace,= 10 x conditional_energy; identical survival AUC in 288/288 cells,moe-audit-0906/results/recheck_survival_auc.csv vs moe-token-geometry-0906/results/effect/survival_conditioned_auc.csv,THE GEOMETRY BUNDLE EVALUATED conditional_energy UNDER THIS NAME AND NEVER NOTICED.
E1_total_residual_routing_energy,ground_leak_mean,|Spearman| = 1.0000 vs conditional_energy,moe-circuit-analogy-0906/results/diagnostics/redundancy_vs_published.csv,exact monotone transform
E1_total_residual_routing_energy,lam_max,|Spearman| = 0.9991 vs conditional_energy,moe-circuit-analogy-0906/results/diagnostics/redundancy_vs_published.csv,
E1_total_residual_routing_energy,res_chain_series,|Spearman| = 0.9987 vs conditional_energy,moe-circuit-analogy-0906/results/diagnostics/redundancy_vs_published.csv,
E1_total_residual_routing_energy,res_adjacent_mean,|Spearman| = 0.9987 vs conditional_energy,moe-circuit-analogy-0906/results/diagnostics/redundancy_vs_published.csv,
E1_total_residual_routing_energy,vol,|Spearman| = 0.9986 vs conditional_energy,moe-circuit-analogy-0906/results/diagnostics/redundancy_vs_published.csv,total conductance
E1_total_residual_routing_energy,log_spanning_trees,|Spearman| = 0.9985 vs conditional_energy,moe-circuit-analogy-0906/results/diagnostics/redundancy_vs_published.csv,matrix-tree theorem
E1_total_residual_routing_energy,log_kirchhoff,|Spearman| = 0.9984 vs conditional_energy,moe-circuit-analogy-0906/results/diagnostics/redundancy_vs_published.csv,Kirchhoff index
E1_total_residual_routing_energy,res_mean,|Spearman| = 0.9984 vs conditional_energy,moe-circuit-analogy-0906/results/diagnostics/redundancy_vs_published.csv,
E1_total_residual_routing_energy,res_end2end,|Spearman| = 0.9962 vs conditional_energy,moe-circuit-analogy-0906/results/diagnostics/redundancy_vs_published.csv,
E1_total_residual_routing_energy,fiedler,|Spearman| = 0.9945 vs conditional_energy,moe-circuit-analogy-0906/results/diagnostics/redundancy_vs_published.csv,algebraic connectivity
E1_total_residual_routing_energy,th_mean,|Spearman| = 0.9882 vs conditional_energy,moe-circuit-analogy-0906/results/diagnostics/redundancy_vs_published.csv,
E1_total_residual_routing_energy,th_min,|Spearman| = 0.9886 vs conditional_energy,moe-circuit-analogy-0906/results/diagnostics/redundancy_vs_published.csv,
E1_total_residual_routing_energy,th_max,|Spearman| = 0.9845 vs conditional_energy,moe-circuit-analogy-0906/results/diagnostics/redundancy_vs_published.csv,
E1_total_residual_routing_energy,th_first,|Spearman| = 0.9846 vs conditional_energy,moe-circuit-analogy-0906/results/diagnostics/redundancy_vs_published.csv,
E1_total_residual_routing_energy,th_last,|Spearman| = 0.9856 vs conditional_energy,moe-circuit-analogy-0906/results/diagnostics/redundancy_vs_published.csv,
E1_total_residual_routing_energy,commute_time,= 2 * vol * R by definition,moe-circuit-analogy-0906 §3,Removed at implementation time; no new degree of freedom.
E2_relative_edge_shape_scale_free,partial_edge_std,reference member of the class,moe-hb-front-back-0905 METRIC_NAMES,
E2_relative_edge_shape_scale_free,norm_fiedler,|Spearman| = 0.9740 vs partial_edge_std,moe-circuit-analogy-0906/results/diagnostics/redundancy_vs_published.csv,
E2_relative_edge_shape_scale_free,gap_ratio,|Spearman| = 0.8672 vs partial_edge_std,moe-circuit-analogy-0906/results/diagnostics/redundancy_vs_published.csv,
E2_relative_edge_shape_scale_free,spectral_erank,|Spearman| = 0.8638 vs partial_edge_std,moe-circuit-analogy-0906/results/diagnostics/redundancy_vs_published.csv,
E2_relative_edge_shape_scale_free,kirchhoff_efficiency,|Spearman| = 0.8637 vs partial_edge_std,moe-circuit-analogy-0906/results/diagnostics/redundancy_vs_published.csv,
E2_relative_edge_shape_scale_free,res_cv,|Spearman| = 0.8407 vs partial_edge_std,moe-circuit-analogy-0906/results/diagnostics/redundancy_vs_published.csv,
E2_relative_edge_shape_scale_free,dd_deficit,|Spearman| = 0.9989 vs conditional_effective_rank,moe-circuit-analogy-0906/results/diagnostics/redundancy_vs_published.csv,
E2_relative_edge_shape_scale_free,spectral_erank ~ kirchhoff_efficiency,internal |Spearman| = 0.9999,moe-circuit-analogy-0906/results/diagnostics/circuit_internal_spearman.csv,gap_ratio / spectral_erank / kirchhoff_efficiency / res_cv are ONE quantity (all pairwise >= 0.992).
