claim_id,bundle,source,claim,key_numbers,stratification,evidence_for_class,would_change_conclusions_if_confounded,recheck_status,recheck_result
S01,moe-hb-front-back-0905,REPORT_ZH.md §前后层结构,Back/front relative action-edge dispersion ratio = 6.17 (dev) / 6.27 (ext) / 5.90 (legacy),"6.17; task bootstrap 95% CI [5.76,7.06]; direction holds 40/40, 39/39, 5/5 tasks",iv+i,Ratio of front vs back layers within the SAME forward pass; then median over per-task ratios; bootstrap resamples tasks.,no,not_rechecked,"Cross-checked by moe-token-geometry-0906 §4 which recomputes partial back/front = 6.00, 37/37 tasks same sign, from an independent kernel cache."
S02,moe-token-geometry-0906,"REPORT_ZH.md §2,§4",Ten action tokens form a 1-D ordered arc; back layers more rigid/ordered/lower-dimensional than front,"r(PC1,index) 0.958-0.998; Robinson 630/632; back>front 37/37 dev and 39/39 ext",iv+i,Compares token positions and layers inside one query; per-task unanimity reported.,no,verified,moe-state-channel-0906/results/controller_probes/probe3_arc_statistics.csv independently reproduces pc1_index_spearman median 0.964-1.000 across 8 layers on 8 external tasks.
S03,moe-flow-semantics-0906,REPORT_ZH.md §4,"Observation/noise sensitivity ratio rises monotonically over the 10 denoising steps, 8/8 layers",L2 0.190->0.740; L12 1.090->2.799; front/back mobility zero-crossing at step 3->4 in BOTH run_ids,iv,"query-0 identification: same init state / different seed vs same seed / different init state. Comparison is inside one (task, init-state) cell by construction.",no,verified,"moe-state-channel-0906 probe1 reproduces the cross-query ratio range [1.6266, 4.9090] vs claimed [1.6, 4.9]."
S04,moe-hb-front-back-0905,docs/FRAME_SURVEY_REPORT_ZH.md §5,state_action_alignment and conditional_energy are one quantity (monotone transform),"dependence ratio 1253; all external metrics bit-identical (37/12 per_task, 33/8 global)",iv,"Algebraic identity conditional_energy = 1 - mean_t(c_t^2), verified numerically.",no,verified,moe-state-channel-0906 formation_summary.json identity_check max_abs_error 2.54e-08. Circuit redundancy table shows rho_conditional_energy = -rho_state_action_alignment to 7 digits for every one of 31 circuit features.
S05,moe-v7-0905,docs/SURVIVAL_BASELINE_REPORT_ZH.md §5,mob_ratio (mobility relative to the rollout own q1-q4 baseline) separates true from false alarms; the aggregated score z_F does not,true 0.370-0.386 vs false 0.476-0.477; z_F true 0.627 vs false 0.625 (chunk 20-31),iv,mob_ratio normalised to the rollout own prefix; cannot be a cross-task confound.,no,not_rechecked,"Quoted from report, not independently verified."
S06,moe-circuit-analogy-0906,REPORT_ZH.md §1,"The conditional kernel is PSD on all 4,015,816 (layer,query) cells; Foster residual equals k-1 exactly on the 16 disconnected cells",min eigenvalue >= 4.52e-6; Foster |residual| <= 1.44e-12; negative off-diagonal mass 4.7e-7,iv,Numerical identity per cell. No cross-episode comparison.,no,not_rechecked,"Structural, not a discrimination claim."
S07,moe-circuit-analogy-0906,REPORT_ZH.md §4 (headline #3),norm_fiedler is the second strongest single MoE quantity in the project by survival-conditioned AUC,"external L12 AUC 0.5969, |AUC-0.5| = 0.0969; beats partial_edge_std 0.0847",ii,"Metric explicitly defined as strata = (suite, chunk q).",YES,RECHECKED,"Reproduced 0.5969 exactly. Swapping strata to task: AUC 0.5338, |AUC-0.5| = 0.0338 -> 65% shrinkage. Still the largest task-stratified effect among the 33 circuit quantities, but no longer near-headline."
S08,moe-circuit-analogy-0906,REPORT_ZH.md §4.2,Risk = collapse toward the uniform clique; 7/7 scale-free clique invariants agree in direction,"norm_fiedler 0.5969, gap_ratio 0.5780, kirchhoff_efficiency 0.5764, spectral_erank 0.5760, res_cv 0.4267, th_cv 0.4311, thalt_cv 0.4371",ii,"Same (suite, chunk) metric as S07.",YES,RECHECKED,"Reproduced all values exactly. Under task strata: gap_ratio 0.4877, spectral_erank 0.4853, kirchhoff_efficiency 0.4856, res_cv 0.5158, th_cv 0.5268. SIX OF THE SEVEN FLIP SIGN (only norm_fiedler keeps its sign, 0.5969->0.5338); thalt_cv 0.4371->0.5207; median |AUC-0.5| falls 0.0764 -> 0.0147 (81% shrinkage). The 7/7 agreement is a suite-level artefact."
S09,moe-circuit-analogy-0906,REPORT_ZH.md §4 table,mobility is the strongest single MoE quantity by survival-conditioned AUC (L14 0.3853),"|AUC-0.5| = 0.1147 external, 0.0760 development",ii,"Same (suite, chunk) metric.",YES,RECHECKED,"moe-token-geometry-0906 own within-task table gives mobility mean |AUC-0.5| = 0.0380 (L13, chunks 8-24) vs pooled 0.1067 -- 64% shrinkage, computed by the geometry bundle itself but never compared against the circuit bundle number."
S10,moe-v7-0905,docs/SURVIVAL_BASELINE_REPORT_ZH.md §1,"Survival prior alone recovers 60.6% of v7 guard accuracy; MoE routing adds 24 points, not 84.6","all: 519 alarms, accuracy 0.846, matched prior 0.606, lift 1.40x; libero_spatial lift 0.998x",ii,"Survival prior computed per suite (""查同 suite 的存活先验""), not per task.",partly,not_rechecked,"Direction is certainly right and the report is candid. A per-TASK survival prior would absorb more, so 60.6% is a LOWER bound on the base-rate share."
S11,moe-v7-0905,"docs/LOSO_VALIDATION_REPORT_ZH.md §1,§4","v7 degrades under leave-one-suite-out; the damage is calibration-corpus horizon composition, not unseen task identity",micro 439/80 -> 414/115; recall -7.60pp macro; freeze threshold swing 44.5pp across folds,ii,"4 suite folds. LOSO/LOTO stratify the CALIBRATION CORPUS, not the evaluation comparison.",partly,not_rechecked,The mechanism (episode length) is demonstrated at suite granularity only.
S12,moe-hb-front-back-0905,"docs/SURVIVAL_BASELINE_ADDENDUM_ZH.md §1,§4",All five Stage-1 layer rules have lift in the narrow band 1.39-1.47 despite precision spanning 0.737-0.872,"front 1.394, back 1.403, all 1.440, L5 1.474, v4 1.451; per suite: long 1.85-2.13, spatial 0.99-1.01",ii,Lift is defined against the per-suite survival prior.,no,not_rechecked,"This claim is deflationary; a task-level prior would only shrink the lifts further, strengthening it."
S13,moe-hb-front-back-0905,REPORT_ZH.md §Stage 2,Late-success episodes stay quiet right after the alarm and only re-respond near the deadline (offset AUC curve),"alarm+1 0.380, +2 0.415, +4 0.403, +8 0.514, horizon 0.657; 8-layer row bootstrap [0.523, 0.787], n=409, positives 27",iii,"Ranks 409 episodes pooled across 39 tasks and 4 suites. Row bootstrap, not task bootstrap. Report itself warns trajectory counts differ per offset.",YES,not_rechecked,"THIS IS THE MONOTONE-DECAY FAMILY. The controller already found the analogous effect goes 0.32-0.40 -> 0.49-0.53 under task stratification. +8 is already 0.514 and the horizon CI lower bound is 0.523, both inside the collapsed band. Only 27 positives; a task-stratified version is likely to be unresolvable at this n."
S14,moe-hb-front-back-0905,"docs/FRAME_SURVEY_REPORT_ZH.md §1,§3",Frame survey operating points: mobility|L12|global 195/17 lift 1.764 is the best global detector,"195 TP / 17 FP, precision 0.9198, lift 1.7640674; expert_load|L3|per_task 370/93 lift 1.5479",iii,global removes task identity from the THRESHOLD only. TP/FP/precision/lift are still pooled over 39 tasks against a per-suite prior.,YES,partly,Operating points reproduce exactly in 6 bundles. But the underlying discrimination is untested within task: the same quantity family loses 65-100% of its threshold-free effect under task strata (see S07/S08).
S15,moe-hb-front-back-0905,"docs/FLOW_AXIS_REPORT_ZH.md §2,§3",mobility and flow_settling are near-orthogonal reference frames; their AND gives 187 TP / 8 FP,low-prior overlap 40 of 72+83; common false alarms only 2; AND external 187/8 precision 0.959,iii,"Pooled across tasks; and FRAME_SURVEY §4 shows the independence-expected co-occurrence is < 1 alarm, so ""2 in common"" is not evidence.",YES,not_rechecked,"Self-undermined twice inside its own bundle: (a) FLOW_AXIS blockquote retracts flow_settling (83 early TP -> 3 TP under a global threshold); (b) FRAME_SURVEY §4 says all pairwise dependence ratios are >> 1 and that zeros are noise. The report carve-out ""其余结论不受影响"" is unsupported."
S16,moe-token-geometry-0906,REPORT_ZH.md §7,Geometry quantities lose to the published baselines as alarms; this is not a selection-rule artefact,best global procrustes_prev 61/10 lift 1.755 vs mobility 195/17 lift 1.764; dev ceiling per_task 244 vs 355,iii,Alarm counts pooled across tasks.,no,not_rechecked,Negative result; task confounding would not rescue it.
S17,moe-combination-rules-0906,"REPORT_ZH.md §1,§3",Uniform strict calibration + OR strictly dominates the best single global detector (G-A 288/13 vs mobility 195/17),G-A 288 TP / 13 FP lift 1.338; G-B 308/23 lift 1.372; the win is cross-suite union coverage (mobility|global is 0/140 on libero_spatial),iii,"Selection on development, evaluation pooled. The mechanism is explicitly identified as SUITE coverage, and never tested at task level.",YES,not_rechecked,The bundle names its own confound: the gain is that mobility misses one whole suite. Whether the residual gain survives task stratification is untested. Note lift FALLS 1.764 -> 1.338 while TP rises.
S18,moe-failure-modes-0906,REPORT_ZH.md §2,Per-detector failure-mode specialisation is largely a task confound,suite strata 20/261 significant; task strata 2/261; MDE smaller under task strata (0.020-0.033 vs 0.029-0.046); dropped 89% task-level,i,"Explicit within-stratum permutation nulls at both levels, 20,000 permutations, BH q=0.05.",n/a,not_rechecked,This is the finding that motivated the audit. It is the only bundle that ran the test.
