parent,head,arm,success,action_steps,settle_steps,queries,prefix_queries,suffix_queries,opportunities,candidates,accepted,rejected,model_calls,deployment_suffix_calls,deployment_full_calls,elapsed_seconds,first_alarm,rescue,harm,c0_exact,accepted_action_steps,step_delta_vs_native,zero_accepted_exact
plus-task00-init026,curvature,native,False,520,10,52,21,31,0,0,0,0,33,31,52,135.27029268443584,20,False,False,True,0,0,True
plus-task00-init026,curvature,mobility,False,520,10,52,21,31,12,12,2,10,43,43,64,147.00257460027933,20,False,False,False,20,0,False
plus-task00-init026,curvature,mobility_balance,False,520,10,52,21,31,12,12,10,2,44,43,64,147.19174840301275,20,False,False,False,100,0,False
plus-task00-init026,curvature,random_balance,False,520,10,52,21,31,12,12,0,12,43,43,64,146.63368456065655,20,False,False,False,0,0,True
pro-task03-init039,freeze,native,False,520,10,52,18,34,0,0,0,0,36,34,52,116.64062166959047,17,False,False,True,0,0,True
pro-task03-init039,freeze,mobility,False,520,10,52,18,34,12,12,1,11,46,46,64,127.19824611395597,17,False,False,False,10,0,False
pro-task03-init039,freeze,mobility_balance,False,520,10,52,18,34,12,12,6,6,47,46,64,128.7524138391018,17,False,False,False,60,0,False
pro-task03-init039,freeze,random_balance,False,520,10,52,18,34,12,12,0,12,46,46,64,127.22895710170269,17,False,False,False,0,0,True
plus-task06-init026,turbulence,native,False,520,10,52,30,22,0,0,0,0,24,22,52,91.08891443908215,29,False,False,True,0,0,True
plus-task06-init026,turbulence,mobility,False,520,10,52,30,22,12,12,6,6,34,34,64,102.7010815963149,29,False,False,False,60,0,False
plus-task06-init026,turbulence,mobility_balance,False,520,10,52,30,22,12,12,12,0,35,34,64,103.85469449311495,29,False,False,False,120,0,False
plus-task06-init026,turbulence,random_balance,False,520,10,52,30,22,12,12,0,12,34,34,64,110.00452732294798,29,False,False,False,0,0,True
plus-task03-init026,inversion,native,False,520,10,52,34,18,0,0,0,0,20,18,52,104.66805755347013,33,False,False,True,0,0,True
plus-task03-init026,inversion,mobility,False,520,10,52,34,18,12,12,4,8,30,30,64,116.54291334748268,33,False,False,False,40,0,False
plus-task03-init026,inversion,mobility_balance,False,520,10,52,34,18,12,12,11,1,31,30,64,118.6006587445736,33,False,False,False,110,0,False
plus-task03-init026,inversion,random_balance,False,520,10,52,34,18,12,12,0,12,30,30,64,116.92658547312021,33,False,False,False,0,0,True
plus-task03-init039,curvature,native,True,323,10,33,23,10,0,0,0,0,12,10,33,73.63518197089434,22,False,False,True,0,0,True
plus-task03-init039,curvature,mobility,True,324,10,33,23,10,10,10,2,8,20,20,43,85.49979983270168,22,False,False,False,20,1,False
plus-task03-init039,curvature,mobility_balance,True,322,10,33,23,10,10,10,10,0,21,20,43,84.08204729110003,22,False,False,False,92,-1,False
plus-task03-init039,curvature,random_balance,True,323,10,33,23,10,10,10,0,10,20,20,43,88.87763308733702,22,False,False,False,0,0,True
