cohort,method,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision,tp_with_four_later_queries,median_first_tp,median_first_fp
all,v7_frozen,950,331,619,135,6,196,613,0.4078549848942598,0.009693053311793215,0.9574468085106383,110,19.0,14.5
all,v8_frozen,950,331,619,259,29,72,590,0.7824773413897281,0.046849757673667204,0.8993055555555556,224,17.0,15.0
all,v82_frozen,950,331,619,271,30,60,589,0.8187311178247734,0.048465266558966075,0.9003322259136213,239,16.0,14.0
all,knn20,950,331,619,252,7,79,612,0.7613293051359517,0.011308562197092083,0.972972972972973,222,16.0,13.0
all,c4_assigned_radius,950,331,619,216,5,115,614,0.6525679758308157,0.008077544426494346,0.9773755656108597,183,16.5,14.0
all,c32_assigned_radius,950,331,619,214,8,117,611,0.6465256797583081,0.012924071082390954,0.963963963963964,179,17.0,16.5
all,c32_union_radius,950,331,619,208,8,123,611,0.6283987915407855,0.012924071082390954,0.9629629629629629,174,17.0,16.5
all,norm_only,950,331,619,185,6,146,613,0.5589123867069486,0.009693053311793215,0.9685863874345549,154,17.0,12.5
all,cosine_knn20,950,331,619,4,3,327,616,0.012084592145015106,0.004846526655896607,0.5714285714285714,3,13.5,8.0
all,knn_euclidean_OR_cosine,950,331,619,253,10,78,609,0.7643504531722054,0.01615508885298869,0.9619771863117871,223,16.0,12.5
all,knn_euclidean_AND_cosine_latched,950,331,619,3,0,328,619,0.00906344410876133,0.0,1.0,2,16.0,
primary,v7_frozen,950,331,619,135,6,196,613,0.4078549848942598,0.009693053311793215,0.9574468085106383,110,19.0,14.5
primary,v8_frozen,950,331,619,259,29,72,590,0.7824773413897281,0.046849757673667204,0.8993055555555556,224,17.0,15.0
primary,v82_frozen,950,331,619,271,30,60,589,0.8187311178247734,0.048465266558966075,0.9003322259136213,239,16.0,14.0
primary,knn20,950,331,619,252,7,79,612,0.7613293051359517,0.011308562197092083,0.972972972972973,222,16.0,13.0
primary,c4_assigned_radius,950,331,619,216,5,115,614,0.6525679758308157,0.008077544426494346,0.9773755656108597,183,16.5,14.0
primary,c32_assigned_radius,950,331,619,214,8,117,611,0.6465256797583081,0.012924071082390954,0.963963963963964,179,17.0,16.5
primary,c32_union_radius,950,331,619,208,8,123,611,0.6283987915407855,0.012924071082390954,0.9629629629629629,174,17.0,16.5
primary,norm_only,950,331,619,185,6,146,613,0.5589123867069486,0.009693053311793215,0.9685863874345549,154,17.0,12.5
primary,cosine_knn20,950,331,619,4,3,327,616,0.012084592145015106,0.004846526655896607,0.5714285714285714,3,13.5,8.0
primary,knn_euclidean_OR_cosine,950,331,619,253,10,78,609,0.7643504531722054,0.01615508885298869,0.9619771863117871,223,16.0,12.5
primary,knn_euclidean_AND_cosine_latched,950,331,619,3,0,328,619,0.00906344410876133,0.0,1.0,2,16.0,
unchanged_scene_controls,v7_frozen,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,v8_frozen,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,v82_frozen,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,knn20,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,c4_assigned_radius,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,c32_assigned_radius,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,c32_union_radius,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,norm_only,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,cosine_knn20,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,knn_euclidean_OR_cosine,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,knn_euclidean_AND_cosine_latched,0,0,0,0,0,0,0,,,,0,,
all_plus,v7_frozen,700,161,539,73,6,88,533,0.453416149068323,0.011131725417439703,0.9240506329113924,60,19.0,14.5
all_plus,v8_frozen,700,161,539,133,29,28,510,0.8260869565217391,0.05380333951762523,0.8209876543209876,116,17.0,15.0
all_plus,v82_frozen,700,161,539,137,30,24,509,0.8509316770186336,0.055658627087198514,0.8203592814371258,121,16.0,14.0
all_plus,knn20,700,161,539,120,7,41,532,0.7453416149068323,0.012987012987012988,0.9448818897637795,98,16.0,13.0
all_plus,c4_assigned_radius,700,161,539,99,5,62,534,0.6149068322981367,0.00927643784786642,0.9519230769230769,78,17.0,14.0
all_plus,c32_assigned_radius,700,161,539,105,8,56,531,0.6521739130434783,0.014842300556586271,0.9292035398230089,85,17.0,16.5
