query,discovery_oof_macro_within_state_auc,mixed_states,chosen
0,0.47065157065157065,13,False
1,0.4594405594405595,13,False
2,0.5344877344877343,13,False
3,0.5658563658563658,13,False
4,0.4382062382062382,13,False
5,0.48142968142968134,13,False
6,0.4428127428127428,13,False
7,0.4947385947385948,13,False
8,0.5116883116883117,13,False
9,0.7005328005328005,13,False
10,0.4736485736485736,13,False
11,0.46485736485736484,13,False
12,0.5350982350982351,13,False
13,0.6362526362526363,13,False
14,0.6288600288600288,13,False
15,0.5846486846486847,13,False
16,0.6002664002664002,13,False
17,0.615861915861916,13,False
18,0.6563658563658563,13,False
19,0.5592962592962594,13,False
20,0.6314019314019313,13,False
21,0.3511710511710512,13,False
22,0.5042291042291043,13,False
23,0.6433011433011433,13,False
24,0.6374847374847376,13,False
25,0.6971583971583972,13,False
26,0.545931845931846,13,False
27,0.6391608391608391,13,False
28,0.5104340104340104,13,False
29,0.6157176157176157,13,False
30,0.7473637473637472,13,False
31,0.7926073926073927,13,False
32,0.7136308136308138,13,False
33,0.7072816072816074,13,False
34,0.9081807081807081,13,True
