method,alpha,recall,fpr,t_det
dyn_success_knn_k20_persist3,0.1,0.9907809277557177,0.12790890329340024,0.5515452498255602
dyn_success_knn_k20_persist3,0.15,1.0,0.1569372178876045,0.5227880228583447
dyn_success_knn_k20_persist3,0.2,1.0,0.19504122638176513,0.5020296666177623
dyn_success_knn_k5,0.01,0.0,0.0,1.0
dyn_success_knn_k5,0.03,0.8885220754968653,0.05531425585144362,0.6652955895447472
dyn_success_knn_k5,0.05,0.9071350762527234,0.06960576343369881,0.6377153472750156
dyn_success_knn_k5,0.1,0.9873795672115001,0.11727446108832974,0.5493631049589307
dyn_success_knn_k5,0.15,0.9907809277557177,0.15146951522323227,0.5110098235963424
dyn_success_knn_k5,0.2,1.0,0.2140470362224547,0.47368050213394824
dyn_vote_knn_k20,0.01,0.0,0.0,1.0
dyn_vote_knn_k20,0.03,0.7755156709148306,0.026359923939556162,0.7461377951464581
dyn_vote_knn_k20,0.05,0.822180811329971,0.02870027911864934,0.7279767450142541
dyn_vote_knn_k20,0.1,0.9073791909926364,0.060659787295161305,0.6454696933883556
dyn_vote_knn_k20,0.15,0.9342514783691254,0.07185924277407453,0.6267722439943969
dyn_vote_knn_k20,0.2,0.9656195811657997,0.0944853959438665,0.6059775328379641
eef_motion_low,0.01,0.0,0.0,1.0
eef_motion_low,0.03,0.7981729016392882,0.018879272431893444,0.7201744681088131
eef_motion_low,0.05,0.8275782535236317,0.030895661025039486,0.6773830213853915
eef_motion_low,0.1,0.8724278172807584,0.06395196090914736,0.6295605424586616
eef_motion_low,0.15,0.9163470943933129,0.10877221930189869,0.588247264608685
eef_motion_low,0.2,0.9594162451305309,0.1810147674686314,0.5333662394924662
route_hellinger_aligned_k20,0.01,0.0,0.0,1.0
route_hellinger_aligned_k20,0.03,0.34739689931916823,0.03935301708269247,0.8630461410343537
route_hellinger_aligned_k20,0.05,0.4543669795035341,0.07014209001296239,0.8046446739748782
route_hellinger_aligned_k20,0.1,0.6183590145459893,0.14783676231261333,0.7072560484937324
route_hellinger_aligned_k20,0.15,0.6747308966321571,0.20896921534242943,0.6802531739232172
route_hellinger_aligned_k20,0.2,0.7619284893444558,0.27869083525632027,0.6175655784416632
route_ja_k20,0.01,0.0,0.0,1.0
route_ja_k20,0.03,0.6202263345120488,0.2851314514045926,0.6476228370942235
route_ja_k20,0.05,0.7159130551987695,0.3186109578131386,0.5917075443221845
route_ja_k20,0.1,0.9515560497703355,0.5823515305445499,0.3917390102962251
route_ja_k20,0.15,0.9952250130821559,0.6840422523580042,0.3394234833402283
route_ja_k20,0.2,0.9982993197278912,0.7865915857872953,0.3106572538179534
route_success_knn_k20,0.01,0.0,0.0,1.0
route_success_knn_k20,0.03,0.5439067138121759,0.07931019527758768,0.7780259406415236
route_success_knn_k20,0.05,0.6338937284315436,0.11139718348340122,0.7156215296860191
route_success_knn_k20,0.1,0.8117813364662104,0.2651229526042939,0.5931419821289633
route_success_knn_k20,0.15,0.8776861171819155,0.3571693541662854,0.5264059682357193
route_success_knn_k20,0.2,0.9233791807321219,0.4602223827195369,0.46938470429086426
route_wj_aligned_k20,0.01,0.0,0.0,1.0
route_wj_aligned_k20,0.03,0.3383086882771757,0.05042823119095743,0.8627290867313467
route_wj_aligned_k20,0.05,0.46336765708614447,0.08793003610956625,0.8041139693851688
route_wj_aligned_k20,0.1,0.5878732903417777,0.2119273475112812,0.7025471339438744
route_wj_aligned_k20,0.15,0.6620909047379636,0.28592522456044434,0.6507635515573533
route_wj_aligned_k20,0.2,0.7550264764025268,0.3643023147699483,0.6020382825399744
route_wj_site_k20,0.01,0.0,0.0,1.0
route_wj_site_k20,0.03,0.336657561626049,0.051215451192278987,0.8634034691670928
route_wj_site_k20,0.05,0.47094341466190204,0.0888027640390353,0.799077192890059
route_wj_site_k20,0.1,0.5876607053077642,0.2139889940563492,0.7020641645323336
route_wj_site_k20,0.15,0.6603902244658547,0.2885013570039513,0.6496116839444467
route_wj_site_k20,0.2,0.7567271566746356,0.37020671138823175,0.599846823205658
success_only__cumsum,0.01,0.0,0.0,1.0
success_only__cumsum,0.03,0.7943376068376068,0.06248819276014419,0.744404000292854
success_only__cumsum,0.05,0.8608821733821733,0.08536156816346986,0.7094463998404299
success_only__cumsum,0.1,0.9656593406593407,0.1870195455417084,0.598454103516786
success_only__cumsum,0.15,0.9780219780219781,0.27181221752201634,0.5317566035249087
success_only__cumsum,0.2,0.989010989010989,0.35171211046973655,0.49111745010343966
success_only__current,0.01,0.0,0.0,1.0
success_only__current,0.03,0.12529955649703547,0.02010307987243751,0.9363038775301146
success_only__current,0.05,0.1536463528690419,0.04135757669031227,0.9207640298377869
success_only__current,0.1,0.3640412987261727,0.11092665446400109,0.8081473418616545
success_only__current,0.15,0.4101854323703063,0.1553935343748248,0.7746213938295998
success_only__current,0.2,0.5084852184852185,0.20507292655174206,0.7106642321423619
v7_guard_constant,0.01,0.0,0.0,1.0
v7_guard_constant,0.03,0.6620845416643736,0.03280188356367121,0.8191803929675862
v7_guard_constant,0.05,0.6723758376699553,0.03647718839810495,0.8095949014881064
v7_guard_constant,0.1,0.7361770803892652,0.05124500126559786,0.7711591327245647
v7_guard_constant,0.15,0.7761653791275641,0.06538369305586049,0.7345648233044537
v7_guard_constant,0.2,0.827943248394929,0.10195156423966743,0.6815015828282219
v7_success_fusion_constant,0.01,0.0,0.0,1.0
v7_success_fusion_constant,0.03,0.2871327695802485,0.014387343518153016,0.908786734734537
v7_success_fusion_constant,0.05,0.3684028506507498,0.044458904908982355,0.8757657183110039
v7_success_fusion_constant,0.1,0.6787412264828231,0.09095467064297201,0.7440871670281232
v7_success_fusion_constant,0.15,0.7686563378265059,0.12064069000569626,0.7005162545635798
v7_success_fusion_constant,0.2,0.8731452787020014,0.17329770324906116,0.6360186730853197
v7_turbulence_constant,0.01,0.0,0.0,1.0
v7_turbulence_constant,0.03,0.6839044195766885,0.0073238536583521835,0.8106644881066659
v7_turbulence_constant,0.05,0.710086687355595,0.012234888638908857,0.7887710754582731
v7_turbulence_constant,0.1,0.7468296708737885,0.03539284842192176,0.7505745881639351
v7_turbulence_constant,0.15,0.7506889068758816,0.04662500912529501,0.7373298628233033
v7_turbulence_constant,0.2,0.7854266823279428,0.07823264809511005,0.7004553652452445
