cohort,method,extra_tp_vs_v7,extra_fp_vs_v7,lost_tp_vs_v7,lost_fp_vs_v7,earlier_tp_vs_v7
all,v7_frozen,0,0,0,0,0
all,v8_frozen,60,23,0,0,16
all,v82_frozen,64,24,0,0,18
all,knn20,52,4,5,3,24
all,c4_assigned_radius,38,2,12,3,6
all,c32_assigned_radius,42,5,10,3,17
all,c32_union_radius,37,4,9,2,13
all,norm_only,19,2,10,2,15
all,cosine_knn20,1,3,73,6,0
all,knn_euclidean_OR_cosine,52,7,5,3,24
all,knn_euclidean_AND_cosine_latched,1,0,73,6,0
primary,v7_frozen,0,0,0,0,0
primary,v8_frozen,60,23,0,0,16
primary,v82_frozen,64,24,0,0,18
primary,knn20,52,4,5,3,24
primary,c4_assigned_radius,38,2,12,3,6
primary,c32_assigned_radius,42,5,10,3,17
primary,c32_union_radius,37,4,9,2,13
primary,norm_only,19,2,10,2,15
primary,cosine_knn20,1,3,73,6,0
primary,knn_euclidean_OR_cosine,52,7,5,3,24
primary,knn_euclidean_AND_cosine_latched,1,0,73,6,0
unchanged_scene_controls,v7_frozen,0,0,0,0,0
unchanged_scene_controls,v8_frozen,0,0,0,0,0
unchanged_scene_controls,v82_frozen,0,0,0,0,0
unchanged_scene_controls,knn20,0,0,0,0,0
unchanged_scene_controls,c4_assigned_radius,0,0,0,0,0
unchanged_scene_controls,c32_assigned_radius,0,0,0,0,0
unchanged_scene_controls,c32_union_radius,0,0,0,0,0
unchanged_scene_controls,norm_only,0,0,0,0,0
unchanged_scene_controls,cosine_knn20,0,0,0,0,0
unchanged_scene_controls,knn_euclidean_OR_cosine,0,0,0,0,0
unchanged_scene_controls,knn_euclidean_AND_cosine_latched,0,0,0,0,0
all_plus,v7_frozen,0,0,0,0,0
all_plus,v8_frozen,60,23,0,0,16
all_plus,v82_frozen,64,24,0,0,18
all_plus,knn20,52,4,5,3,24
all_plus,c4_assigned_radius,38,2,12,3,6
all_plus,c32_assigned_radius,42,5,10,3,17
all_plus,c32_union_radius,37,4,9,2,13
all_plus,norm_only,19,2,10,2,15
all_plus,cosine_knn20,1,3,73,6,0
all_plus,knn_euclidean_OR_cosine,52,7,5,3,24
all_plus,knn_euclidean_AND_cosine_latched,1,0,73,6,0
primary_plus,v7_frozen,0,0,0,0,0
primary_plus,v8_frozen,60,23,0,0,16
primary_plus,v82_frozen,64,24,0,0,18
primary_plus,knn20,52,4,5,3,24
primary_plus,c4_assigned_radius,38,2,12,3,6
primary_plus,c32_assigned_radius,42,5,10,3,17
primary_plus,c32_union_radius,37,4,9,2,13
primary_plus,norm_only,19,2,10,2,15
primary_plus,cosine_knn20,1,3,73,6,0
primary_plus,knn_euclidean_OR_cosine,52,7,5,3,24
primary_plus,knn_euclidean_AND_cosine_latched,1,0,73,6,0
