candidate,episode_id,evaluation_role,relative_query,query,reject_stale_chunk,layer5_gap,back_chunk_jump,front_action_distance,layer5_gap_ratio,back_chunk_jump_ratio,front_action_distance_ratio,layer5_gap_upper,back_chunk_jump_upper,front_action_distance_upper
6,100000006,belief_trap,-1,30,False,0.17353379713766426,0.02681495462515672,0.03710133642561658,0.7789098340673746,0.7463608830498837,1.0659097963065332,0.22279061009089,0.03592759914691901,0.034807200904031305
6,100000006,belief_trap,0,31,False,0.18221507563059156,0.033200814500965736,0.03618502018974099,0.6190288939377835,0.8032037444975259,1.204367229340136,0.29435633363005087,0.04133548271956295,0.03004483957070677
6,100000006,belief_trap,1,32,False,0.4451970266471741,0.04906386636334258,0.02722997115537872,0.996473435040488,1.1470306766366658,0.8948794406631817,0.4467725992405258,0.042774676704556945,0.030428647612240366
6,100000006,belief_trap,2,33,True,0.57105751043494,0.043761044507841074,0.025372221658244598,1.1410200363216318,1.1794919247638358,0.9325974773604564,0.5004798270465863,0.03710160586016996,0.027205972859862274
6,100000006,belief_trap,3,34,False,0.6079080304282594,0.03047389288486502,0.02802177494226024,1.0615957367635505,1.0432786691364366,1.0219087022558084,0.5726360886504378,0.029209734451955658,0.027421016065724543
6,100000006,belief_trap,4,35,False,0.6626694305348013,0.026948144659804232,0.02768386899512901,1.0357513808831973,0.9692761654987634,1.0363466165433353,0.6397958455722601,0.027802339125854232,0.02671294386762867
6,100000006,belief_trap,5,36,False,0.6991949900436301,0.02937334476964615,0.031987668178099594,1.011285919418772,1.0278933380591027,1.1578521605659242,0.6913919956934498,0.028576257557140834,0.027626729272988496
6,100000006,belief_trap,6,37,False,0.7180860831148832,0.031332568971719196,0.03041268855114435,1.0060541768184386,0.9418813746780935,1.0245702385989124,0.7137648246596121,0.033265939654479014,0.02968336128202722
3,100000003,healthy_loo,-1,28,False,0.154501892837343,0.032651142372707574,0.034807200904031305,0.6934847603061556,0.9088039041848303,1.1115339954364807,0.22279061009089,0.03592759914691901,0.03131456261970926
3,100000003,healthy_loo,0,29,False,0.20632715236052718,0.03750837339075219,0.029473682341902806,0.7009434783212126,0.9074134598892807,0.9685263622704265,0.29435633363005087,0.04133548271956295,0.030431471449894647
3,100000003,healthy_loo,1,30,False,0.2668389851585625,0.0409480226209609,0.02761176381255494,0.5972590656010807,0.957295899716258,0.9001401412216983,0.4467725992405258,0.042774676704556945,0.03067496109559051
3,100000003,healthy_loo,2,31,False,0.3972979814615666,0.035479924049135685,0.025731186880733684,0.7938341567253314,0.9562907919094894,0.946640196823237,0.5004798270465863,0.03710160586016996,0.027181591239293618
3,100000003,healthy_loo,3,32,False,0.4402546918490331,0.022774019058527887,0.024035472272434237,0.7688210725359712,0.7796722389238672,0.8549696131804245,0.5726360886504378,0.029209734451955658,0.028112662604491915
3,100000003,healthy_loo,4,33,False,0.49186153591026827,0.02442321667175227,0.023894776412552093,0.7687788836301785,0.8784590591890301,0.863298482390779,0.6397958455722601,0.027802339125854232,0.027678464517137805
3,100000003,healthy_loo,5,34,False,0.5636788781002563,0.02436319162303741,0.026054652139721267,0.8152811742272194,0.8525676105179618,0.9500716554119246,0.6913919956934498,0.028576257557140834,0.027423881126550077
3,100000003,healthy_loo,6,35,False,0.6455801058526365,0.025991341457359554,0.027446284893296133,0.9044717301115359,0.7813199244428982,0.9501346017728168,0.7137648246596121,0.033265939654479014,0.02888673335555325
4,100000004,healthy_loo,-1,32,False,0.16264713819155854,0.03455751364878484,0.028881659263195195,0.7300448529909083,0.9618653756258116,0.8129973568008596,0.22279061009089,0.03592759914691901,0.03552491163912805
4,100000004,healthy_loo,0,33,False,0.229583961266556,0.03929511658395541,0.025789160099724776,0.7799525100591135,0.9506388700127145,0.8367925615240802,0.29435633363005087,0.04133548271956295,0.03081905992657733
4,100000004,healthy_loo,1,34,False,0.2670209668155692,0.039453505702893986,0.02842617750091524,0.5976663906190339,0.9223566077517743,0.9111926851860468,0.4467725992405258,0.042774676704556945,0.03119666999424079
4,100000004,healthy_loo,2,35,False,0.37926276831579825,0.035000690465568154,0.025748889939146587,0.7577983123793224,0.9433740037420532,0.9357297130606367,0.5004798270465863,0.03710160586016996,0.027517443958176437
4,100000004,healthy_loo,3,36,False,0.42001289474176395,0.026094937325174098,0.027414330157977534,0.7334726243531575,0.8933644148013465,1.0053719565010748,0.5726360886504378,0.029209734451955658,0.027267848462160904
4,100000004,healthy_loo,4,37,False,0.45741451779523234,0.022702628554528224,0.025356934107628258,0.7149382431298873,0.8165726074974881,0.9361274868278807,0.6397958455722601,0.027802339125854232,0.027087052206480573
