cohort,method,extra_tp_vs_v7,extra_fp_vs_v7,lost_tp_vs_v7,lost_fp_vs_v7,earlier_tp_vs_v7
all,v7_frozen,0,0,0,0,0
all,v8_frozen,10,0,0,0,1
all,v82_frozen,21,1,0,0,2
all,knn20,40,3,0,0,75
all,c4_assigned_radius,41,5,0,0,44
all,c32_assigned_radius,38,1,1,0,48
all,c32_union_radius,36,3,4,0,44
all,norm_only,23,3,8,0,32
all,cosine_knn20,0,0,119,2,0
all,knn_euclidean_OR_cosine,40,3,0,0,75
all,knn_euclidean_AND_cosine_latched,0,0,119,2,0
primary,v7_frozen,0,0,0,0,0
primary,v8_frozen,10,0,0,0,1
primary,v82_frozen,21,1,0,0,2
primary,knn20,39,0,0,0,75
primary,c4_assigned_radius,40,2,0,0,44
primary,c32_assigned_radius,37,0,1,0,48
primary,c32_union_radius,35,1,4,0,44
primary,norm_only,23,0,8,0,31
primary,cosine_knn20,0,0,118,2,0
primary,knn_euclidean_OR_cosine,39,0,0,0,75
primary,knn_euclidean_AND_cosine_latched,0,0,118,2,0
unchanged_scene_controls,v7_frozen,0,0,0,0,0
unchanged_scene_controls,v8_frozen,0,0,0,0,0
unchanged_scene_controls,v82_frozen,0,0,0,0,0
unchanged_scene_controls,knn20,1,3,0,0,0
unchanged_scene_controls,c4_assigned_radius,1,3,0,0,0
unchanged_scene_controls,c32_assigned_radius,1,1,0,0,0
unchanged_scene_controls,c32_union_radius,1,2,0,0,0
unchanged_scene_controls,norm_only,0,3,0,0,1
unchanged_scene_controls,cosine_knn20,0,0,1,0,0
unchanged_scene_controls,knn_euclidean_OR_cosine,1,3,0,0,0
unchanged_scene_controls,knn_euclidean_AND_cosine_latched,0,0,1,0,0
all_pro,v7_frozen,0,0,0,0,0
all_pro,v8_frozen,10,0,0,0,1
all_pro,v82_frozen,21,1,0,0,2
all_pro,knn20,40,3,0,0,75
all_pro,c4_assigned_radius,41,5,0,0,44
all_pro,c32_assigned_radius,38,1,1,0,48
all_pro,c32_union_radius,36,3,4,0,44
all_pro,norm_only,23,3,8,0,32
all_pro,cosine_knn20,0,0,119,2,0
all_pro,knn_euclidean_OR_cosine,40,3,0,0,75
all_pro,knn_euclidean_AND_cosine_latched,0,0,119,2,0
primary_pro,v7_frozen,0,0,0,0,0
primary_pro,v8_frozen,10,0,0,0,1
primary_pro,v82_frozen,21,1,0,0,2
primary_pro,knn20,39,0,0,0,75
primary_pro,c4_assigned_radius,40,2,0,0,44
primary_pro,c32_assigned_radius,37,0,1,0,48
primary_pro,c32_union_radius,35,1,4,0,44
primary_pro,norm_only,23,0,8,0,31
primary_pro,cosine_knn20,0,0,118,2,0
primary_pro,knn_euclidean_OR_cosine,39,0,0,0,75
primary_pro,knn_euclidean_AND_cosine_latched,0,0,118,2,0
