cohort,method,extra_tp_vs_v7,extra_fp_vs_v7,lost_tp_vs_v7,lost_fp_vs_v7,earlier_tp_vs_v7
all,v7_frozen,0,0,0,0,0
all,v8_frozen,64,0,0,0,10
all,v82_frozen,72,0,0,0,12
all,knn20,72,0,2,0,31
all,c4_assigned_radius,59,0,4,0,13
all,c32_assigned_radius,54,0,7,0,23
all,c32_union_radius,51,0,6,0,24
all,norm_only,48,0,7,0,17
all,cosine_knn20,1,0,60,0,2
all,knn_euclidean_OR_cosine,73,0,2,0,32
all,knn_euclidean_AND_cosine_latched,0,0,60,0,1
primary,v7_frozen,0,0,0,0,0
primary,v8_frozen,64,0,0,0,10
primary,v82_frozen,72,0,0,0,12
primary,knn20,72,0,2,0,31
primary,c4_assigned_radius,59,0,4,0,13
primary,c32_assigned_radius,54,0,7,0,23
primary,c32_union_radius,51,0,6,0,24
primary,norm_only,48,0,7,0,17
primary,cosine_knn20,1,0,60,0,2
primary,knn_euclidean_OR_cosine,73,0,2,0,32
primary,knn_euclidean_AND_cosine_latched,0,0,60,0,1
unchanged_scene_controls,v7_frozen,0,0,0,0,0
unchanged_scene_controls,v8_frozen,0,0,0,0,0
unchanged_scene_controls,v82_frozen,0,0,0,0,0
unchanged_scene_controls,knn20,0,0,0,0,0
unchanged_scene_controls,c4_assigned_radius,0,0,0,0,0
unchanged_scene_controls,c32_assigned_radius,0,0,0,0,0
unchanged_scene_controls,c32_union_radius,0,0,0,0,0
unchanged_scene_controls,norm_only,0,0,0,0,0
unchanged_scene_controls,cosine_knn20,0,0,0,0,0
unchanged_scene_controls,knn_euclidean_OR_cosine,0,0,0,0,0
unchanged_scene_controls,knn_euclidean_AND_cosine_latched,0,0,0,0,0
all_pro,v7_frozen,0,0,0,0,0
all_pro,v8_frozen,64,0,0,0,10
all_pro,v82_frozen,72,0,0,0,12
all_pro,knn20,72,0,2,0,31
all_pro,c4_assigned_radius,59,0,4,0,13
all_pro,c32_assigned_radius,54,0,7,0,23
all_pro,c32_union_radius,51,0,6,0,24
all_pro,norm_only,48,0,7,0,17
all_pro,cosine_knn20,1,0,60,0,2
all_pro,knn_euclidean_OR_cosine,73,0,2,0,32
all_pro,knn_euclidean_AND_cosine_latched,0,0,60,0,1
primary_pro,v7_frozen,0,0,0,0,0
primary_pro,v8_frozen,64,0,0,0,10
primary_pro,v82_frozen,72,0,0,0,12
primary_pro,knn20,72,0,2,0,31
primary_pro,c4_assigned_radius,59,0,4,0,13
primary_pro,c32_assigned_radius,54,0,7,0,23
primary_pro,c32_union_radius,51,0,6,0,24
primary_pro,norm_only,48,0,7,0,17
primary_pro,cosine_knn20,1,0,60,0,2
primary_pro,knn_euclidean_OR_cosine,73,0,2,0,32
primary_pro,knn_euclidean_AND_cosine_latched,0,0,60,0,1
