pair_id,event_effect,control_effect,difference_in_differences,event_alarm,control_alarm
0,0,0,0,True,False
1,0,0,0,False,False
2,0,0,0,True,False
3,0,-1,1,False,False
5,0,0,0,True,False
6,0,0,0,True,False
7,0,0,0,True,True
8,0,0,0,True,False
9,0,0,0,True,False
10,0,0,0,True,False
11,0,0,0,True,False
12,0,0,0,False,False
13,0,-1,1,True,True
14,0,0,0,True,False
15,0,0,0,True,True
16,0,0,0,True,False
17,0,0,0,True,False
18,0,0,0,True,False
19,0,0,0,True,False
20,0,0,0,False,False
21,0,0,0,True,False
22,0,0,0,True,False
23,0,0,0,True,False
