reference_seed_group,evaluation_seed_group,role,task,suite,episode,episode_length,success,failure,alarm,first_alarm_query,first_alarm_phase,alarm_cause,episode_max_confidence,fixed_clock_query,fixed_clock_alarm
seed1000_1007,seed1000_1007,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,0,13,True,False,False,,,,0.17225228135346848,39,False
seed1000_1007,seed1000_1007,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,1,13,True,False,False,,,,0.1875958976015505,39,False
seed1000_1007,seed1000_1007,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,2,13,True,False,False,,,,0.21109585722361301,39,False
seed1000_1007,seed1000_1007,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,3,13,True,False,False,,,,0.18283130097714606,39,False
seed1000_1007,seed1000_1007,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,4,13,True,False,False,,,,0.17419042235322624,39,False
seed1000_1007,seed1000_1007,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,5,13,True,False,False,,,,0.1993862553500767,39,False
seed1000_1007,seed1000_1007,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,6,13,True,False,False,,,,0.19373334410078336,39,False
seed1000_1007,seed1000_1007,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,7,13,True,False,False,,,,0.17556327222805457,39,False
seed1000_1007,seed1000_1007,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,8,12,True,False,False,,,,0.127352014859081,39,False
seed1000_1007,seed1000_1007,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,9,12,True,False,False,,,,0.1466526689816684,39,False
seed1000_1007,seed1000_1007,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,10,12,True,False,False,,,,0.16046192360494227,39,False
