reference_seed_group,evaluation_seed_group,role,task,suite,episode,episode_length,success,failure,alarm,first_alarm_query,first_alarm_phase,alarm_cause,episode_max_confidence,fixed_clock_query,fixed_clock_alarm
seed1000_1007,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,0,13,True,False,False,,,,0.22078656222240167,39,False
seed1000_1007,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,1,13,True,False,False,,,,0.172656060728418,39,False
seed1000_1007,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,2,13,True,False,False,,,,0.2065735282241783,39,False
seed1000_1007,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,3,13,True,False,False,,,,0.17410966647823634,39,False
seed1000_1007,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,4,13,True,False,False,,,,0.1835581038520553,39,False
seed1000_1007,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,5,13,True,False,False,,,,0.23225389647096828,39,False
seed1000_1007,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,6,13,True,False,False,,,,0.1770168779778729,39,False
seed1000_1007,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,7,15,True,False,False,,,,0.6065573770491803,39,False
seed1000_1007,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,8,11,True,False,False,,,,0.16651861422918512,39,False
seed1000_1007,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,9,12,True,False,False,,,,0.15351691835581038,39,False
seed1000_1007,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,10,12,True,False,False,,,,0.12242590648469676,39,False
seed1000_1007,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,11,12,True,False,False,,,,0.1500444157312445,39,False
seed1000_1007,seed1008_1015,threshold_confirmation,libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,12,12,True,False,False,,,,0.1460873778567391,39,False
